identifiant_station,nom_station,station_en_fonctionnement,capacité_de_la_station,nombre_bornettes_libres,nombre_total_vélos_disponibles,vélos_mécaniques_disponibles,vélos_électriques_disponibles,borne_de_paiement_disponible,retour_vélib_possible,actualisation_de_la_donnée,coordonnées_géographiques,commune,code_postal
19205,Simon Bolivar - Henri Turot,True,23,17,6,1,5,True,True,2025-06-03 14:55:06+02:00,"48.877475489801, 2.3739709492211",Paris,75056
5123,Saint-Germain - Thenard,True,31,5,26,19,7,True,True,2025-06-03 14:58:49+02:00,"48.850571, 2.3471015",Paris,75056
11036,Jules Ferry - Faubourg du Temple Paris,True,58,41,15,12,3,True,True,2025-06-03 14:57:59+02:00,"48.868397, 2.3678933",Paris,75056
9021,Saint Georges - d'Aumale,True,23,21,2,0,2,True,True,2025-06-03 14:56:16+02:00,"48.87778639599673, 2.337429821491241",Paris,75056
12027,Montgallet - Charenton,True,16,9,5,3,2,True,True,2025-06-03 14:56:37+02:00,"48.842647778701, 2.3861649278137",Paris,75056
20111,Villiers de l'Isle Adam - Pyrénées,True,20,20,0,0,0,True,True,2025-06-03 14:53:13+02:00,"48.867362, 2.396222",Paris,75056
20043,Charonne - Avron,True,27,26,1,0,1,True,True,2025-06-03 14:58:55+02:00,"48.851602665222, 2.3984030470379",Paris,75056
17102,Alfred Roll - Berthier,True,28,24,3,0,3,True,True,2025-06-03 14:58:22+02:00,"48.887808570529, 2.3000952981763",Paris,75056
16111,Faustin Hélie - Desbordes-Valmore,True,33,32,1,0,1,True,True,2025-06-03 14:54:53+02:00,"48.859403, 2.276522",Paris,75056
11007,Jean Macé - Faidherbe,True,63,59,3,3,0,True,True,2025-06-03 14:48:16+02:00,"48.85337548426, 2.3828620836139",Paris,75056
19008,Flandre - Alphonse Karr,True,26,20,3,2,1,True,True,2025-06-03 14:57:22+02:00,"48.89465, 2.381868",Paris,75056
15025,Dupleix - du Guesclin,True,47,39,7,3,4,True,True,2025-06-03 14:57:30+02:00,"48.85147910413369, 2.296709530055523",Paris,75056
18110,Departement - Pajol,True,19,16,2,1,1,True,True,2025-06-03 14:53:58+02:00,"48.886674849730184, 2.3613611608743668",Paris,75056
17045,Place des Ternes.,True,46,32,11,5,6,True,True,2025-06-03 14:59:04+02:00,"48.878438631226516, 2.297727763652802",Paris,75056
18012,Stephenson - Doudeauville,True,36,34,0,0,0,True,True,2025-06-03 14:51:43+02:00,"48.888537048944826, 2.3561610281467438",Paris,75056
19125,Place de l'Édit de Nantes,True,30,24,3,1,2,True,True,2025-06-03 14:58:18+02:00,"48.88879, 2.3785",Paris,75056
11115,Montreuil - Gonnet,True,24,20,4,1,3,True,True,2025-06-03 14:55:50+02:00,"48.850500564921, 2.3890856287864",Paris,75056
7015,Varenne,True,47,7,39,31,8,True,True,2025-06-03 14:57:55+02:00,"48.857202661803, 2.3152771219611",Paris,75056
6013,Jacques Callot - Mazarine,True,28,4,24,15,9,True,True,2025-06-03 14:57:01+02:00,"48.855280175332, 2.3375743255019",Paris,75056
8035,Bienfaisance - Place de Narvik,True,36,20,16,11,5,True,True,2025-06-03 14:59:02+02:00,"48.87660163459077, 2.3129771277308464",Paris,75056
12115,Porte de Vincennes,True,33,15,18,17,1,True,True,2025-06-03 14:57:49+02:00,"48.846454, 2.415514",Paris,75056
8033,Commandant Rivière,True,42,6,36,29,7,True,True,2025-06-03 14:57:10+02:00,"48.872933, 2.309796",Paris,75056
16121,Jardin d'Acclimatation,True,33,18,11,5,6,True,True,2025-06-03 14:58:01+02:00,"48.878772242510465, 2.270772233605385",Paris,75056
19005,Flandre - Riquet,True,21,17,4,2,2,True,True,2025-06-03 14:57:25+02:00,"48.888013281448, 2.3737595955229",Paris,75056
10113,Parmentier - Hôpital Saint-Louis,True,43,37,5,0,5,True,True,2025-06-03 14:46:51+02:00,"48.871379874257, 2.3698963836667",Paris,75056
16124,Route de Sèvres - Porte de Bagatelle,True,66,46,20,19,1,True,True,2025-06-03 14:57:07+02:00,"48.87525984132485, 2.249415814876557",Paris,75056
17011,Fragonard - Porte de Clichy,True,56,40,15,14,1,True,True,2025-06-03 14:58:56+02:00,"48.894155633419, 2.3143893107772",Paris,75056
12013,Montgallet - Reuilly,True,15,14,1,0,1,True,True,2025-06-03 14:58:41+02:00,"48.844291, 2.3896481",Paris,75056
5021,Jussieu - Fossés Saint-Bernard,True,39,9,29,22,7,True,True,2025-06-03 14:58:31+02:00,"48.847185510023, 2.3534858599305",Paris,75056
19115,Porte de la Villette,True,27,22,5,3,2,True,True,2025-06-03 14:55:13+02:00,"48.89835196548483, 2.386150136590004",Paris,75056
16018,Flandrin - Henri Martin,True,18,15,3,1,2,True,True,2025-06-03 14:56:55+02:00,"48.8643275, 2.2724174",Paris,75056
15010,Square Cambronne,True,59,21,10,9,1,True,True,2025-06-03 14:59:04+02:00,"48.84756654526, 2.3025691509247",Paris,75056
15033,Place Violet,True,30,26,4,2,2,True,True,2025-06-03 14:58:49+02:00,"48.84487893836502, 2.2905756533145905",Paris,75056
17037,Bayen - Pereire,True,22,21,0,0,0,True,True,2025-06-03 14:56:24+02:00,"48.881804409079656, 2.2921088710427284",Paris,75056
19044,Grands Moulins de Pantin,True,50,36,14,11,3,True,True,2025-06-03 14:58:08+02:00,"48.89738369720229, 2.3959985375404362",Paris,75056
18141,Clignancourt - Sofia,True,19,16,2,0,2,True,True,2025-06-03 14:55:50+02:00,"48.88511992309783, 2.34719488842051",Paris,75056
5106,Cujas - Saint-Michel,True,19,4,15,8,7,True,True,2025-06-03 14:56:31+02:00,"48.848191348584, 2.341831654854",Paris,75056
16034,Porte d'Auteuil,True,33,11,22,12,10,True,True,2025-06-03 14:58:01+02:00,"48.8479394142243, 2.2608396783471107",Paris,75056
7009,Assemblée Nationale,True,76,18,58,30,28,True,True,2025-06-03 14:58:48+02:00,"48.861411014652, 2.3201214185208",Paris,75056
13045,Jean Colly - Tolbiac,True,36,28,7,6,1,True,True,2025-06-03 14:58:36+02:00,"48.827817291597846, 2.3705490678548813",Paris,75056
14034,Ouest - Château,True,23,23,0,0,0,True,True,2025-06-03 14:57:25+02:00,"48.83617286014242, 2.319392143923804",Paris,75056
12034,Pirogues de Bercy - Libourne,True,49,7,42,30,12,True,True,2025-06-03 14:58:20+02:00,"48.832308, 2.38637",Paris,75056
16129,Ceinture du Lac Inferieure - Saint-Cloud,True,42,36,5,3,2,True,True,2025-06-03 14:52:19+02:00,"48.86218070933143, 2.2617871686816216",Paris,75056
14104,Boyer-Barret - Raymond Losserand,True,23,21,2,0,2,True,True,2025-06-03 14:58:43+02:00,"48.83329880233322, 2.3173383995890617",Paris,75056
20132,Réunion - Avron,True,26,25,1,0,1,True,True,2025-06-03 14:56:08+02:00,"48.852566752033766, 2.403928068708116",Paris,75056
20113,Piat - Parc de Belleville,True,21,19,2,0,2,True,True,2025-06-03 14:53:24+02:00,"48.87195626635528, 2.384981390278095",Paris,75056
12126,Gravelle - Route du Bac,True,51,44,6,3,3,True,True,2025-06-03 14:54:19+02:00,"48.824407, 2.418455",Paris,75056
5119,Jussieu - Guy de la Brosse,True,40,22,17,15,2,True,True,2025-06-03 14:54:01+02:00,"48.845665, 2.355653",Paris,75056
15017,Place Falguière,True,23,21,2,0,2,True,True,2025-06-03 14:56:36+02:00,"48.83629973941847, 2.3104464635252953",Paris,75056
8055,Courcelles - Place des Ternes,True,31,21,10,6,4,True,True,2025-06-03 14:59:04+02:00,"48.878199928923124, 2.2992860188665043",Paris,75056
17018,Parc Monceau,True,18,11,6,2,4,True,True,2025-06-03 14:53:59+02:00,"48.881077914129, 2.3095492646098",Paris,75056
10005,Petites Ecuries - Faubourg Poissonnière,True,17,7,10,6,4,True,True,2025-06-03 14:58:56+02:00,"48.87397217237368, 2.348388757504776",Paris,75056
17007,Navier - Epinettes,True,54,48,6,3,3,True,True,2025-06-03 14:55:06+02:00,"48.89587780769155, 2.3226776719093327",Paris,75056
18020,Francoeur - Marcadet,True,20,20,0,0,0,True,True,2025-06-03 14:57:31+02:00,"48.89104123261663, 2.340014585442034",Paris,75056
12024,Gare de Bercy,True,35,26,9,7,2,True,True,2025-06-03 14:57:43+02:00,"48.839794573906, 2.3826066032052",Paris,75056
20136,Henri Chevreau - Couronnes,True,27,26,0,0,0,True,True,2025-06-03 14:57:42+02:00,"48.87033205312931, 2.388777695596218",Paris,75056
20119,Square des Saint-Simoniens,True,25,25,0,0,0,True,True,2025-06-03 14:53:07+02:00,"48.8701796, 2.3967273",Paris,75056
5026,Pascal - Claude Bernard,True,49,33,14,11,3,True,True,2025-06-03 14:58:28+02:00,"48.839061952159746, 2.3499782010912895",Paris,75056
6030,Assas - Vaugirard,True,35,28,7,2,5,True,True,2025-06-03 14:55:27+02:00,"48.848274111398, 2.3292413726449",Paris,75056
15028,Grenelle - Dr Finlay,True,71,54,15,11,4,True,True,2025-06-03 14:58:46+02:00,"48.851315406715976, 2.2919502854347233",Paris,75056
14018,Porte d'Orléans,True,48,45,2,0,2,True,True,2025-06-03 14:49:37+02:00,"48.8227639, 2.3249313",Paris,75056
20036,Ménilmontant - Pelleport,True,32,31,0,0,0,True,True,2025-06-03 14:56:19+02:00,"48.870682633845, 2.3989596023316",Paris,75056
19019,Petit - Manin,True,22,17,2,1,1,True,True,2025-06-03 14:51:52+02:00,"48.886506875343, 2.3938155401308",Paris,75056
15029,Emeriau - Place de Brazzaville,True,51,12,39,33,6,True,True,2025-06-03 14:58:56+02:00,"48.850785261674964, 2.2871585190296173",Paris,75056
18005,Tardieu - Chappe,True,18,17,1,0,1,True,True,2025-06-03 14:58:03+02:00,"48.884146759782, 2.341845408082",Paris,75056
2010,Uzès - Montmartre,True,29,10,19,7,12,True,True,2025-06-03 14:58:50+02:00,"48.870790980240706, 2.3431010171771054",Paris,75056
5002,Sommerard - Saint-Jacques,True,34,11,22,18,4,True,True,2025-06-03 14:58:52+02:00,"48.850310432924466, 2.345015835298588",Paris,75056
11114,Ledru-Rollin - Charonne,True,32,18,13,8,5,True,True,2025-06-03 14:56:37+02:00,"48.85345855607243, 2.3772463581947094",Paris,75056
8102,Lamennais - Washington,True,26,8,18,7,11,True,True,2025-06-03 14:58:17+02:00,"48.87352990026496, 2.303444892168045",Paris,75056
5116,Place Valhubert,True,51,22,28,26,2,True,True,2025-06-03 14:59:04+02:00,"48.844182577315, 2.3640366643667",Paris,75056
7004,Raspail - Varenne,True,18,6,12,12,0,True,True,2025-06-03 14:58:43+02:00,"48.853147816545, 2.3263905197382",Paris,75056
8012,Batignolles - Place de Clichy,True,47,38,7,3,4,True,True,2025-06-03 14:58:38+02:00,"48.883474535757, 2.326493114233",Paris,75056
7006,Quai Voltaire,True,32,0,31,15,16,True,True,2025-06-03 14:57:15+02:00,"48.858942986179, 2.3314182047146",Paris,75056
20040,Parc de Belleville - Julien Lacroix,True,26,24,2,0,2,True,True,2025-06-03 14:57:55+02:00,"48.8703459, 2.3842214",Paris,75056
7014,Saint-François-Xavier,True,42,28,13,13,0,True,True,2025-06-03 14:58:02+02:00,"48.85154484769, 2.3146149516106",Paris,75056
10023,Gare de l'Est - Verdun,True,14,13,1,1,0,True,True,2025-06-03 14:58:44+02:00,"48.876156054271, 2.3609149083206",Paris,75056
17017,Gare de Pont-Cardinet,True,34,29,3,0,3,True,True,2025-06-03 14:53:23+02:00,"48.88713901475306, 2.314494143994255",Paris,75056
13026,Place Jean Delay,True,35,28,7,1,6,True,True,2025-06-03 14:57:34+02:00,"48.823316, 2.354336",Paris,75056
14139,Pierre Larousse - Raymond Losserand,True,30,25,4,1,3,True,True,2025-06-03 14:56:28+02:00,"48.83059564231877, 2.3119183257222176",Paris,75056
14130,Jonquoy - Didot,True,30,26,4,0,4,True,True,2025-06-03 14:57:15+02:00,"48.82890454823947, 2.31648076325655",Paris,75056
13102,Pitié-Salpêtrière,True,51,25,26,24,2,True,True,2025-06-03 14:57:13+02:00,"48.83748810318667, 2.365213818848133",Paris,75056
10015,Lucien Sampaix - Récollets,True,46,42,3,2,1,True,True,2025-06-03 14:59:03+02:00,"48.874330377560476, 2.3621229082345963",Paris,75056
11101,Charles Delescluze,True,49,44,5,3,2,True,True,2025-06-03 14:57:11+02:00,"48.85242200848887, 2.380632497370243",Paris,75056
15055,Vasco de Gama,True,54,19,32,31,1,True,True,2025-06-03 14:59:04+02:00,"48.83671783466264, 2.283664085650799",Paris,75056
12032,Porte Dorée,True,36,16,19,15,4,True,True,2025-06-03 14:59:00+02:00,"48.8354337, 2.4077132",Paris,75056
12011,Charenton - Place du Col Bourgoin,True,35,31,4,4,0,True,True,2025-06-03 14:59:03+02:00,"48.844867319554, 2.3825789350545",Paris,75056
6103,Mézières - Rennes,True,55,40,14,8,6,True,True,2025-06-03 14:57:09+02:00,"48.85023459321703, 2.3303819820284843",Paris,75056
19037,Belleville - Porte des Lilas,True,32,27,2,0,2,True,True,2025-06-03 14:56:41+02:00,"48.87660391892763, 2.404769691129476",Paris,75056
15038,Place Adolphe Cherioux - Vaugirard,True,63,60,1,1,0,True,True,2025-06-03 14:56:08+02:00,"48.83959442800459, 2.3010657727718353",Paris,75056
20021,Indre - Prairies,True,38,36,1,0,1,True,True,2025-06-03 14:51:55+02:00,"48.86254398506782, 2.403290458023548",Paris,75056
18032,Porte de Clignancourt.,True,56,52,3,0,3,True,True,2025-06-03 14:59:00+02:00,"48.897488, 2.343996",Paris,75056
7005,Raspail - Bac,True,52,15,34,28,6,True,True,2025-06-03 14:57:56+02:00,"48.855628721101, 2.3256602883339",Paris,75056
17027,Place du Maréchal Juin - Péreire,True,46,34,10,8,2,True,True,2025-06-03 14:56:55+02:00,"48.885263, 2.298286",Paris,75056
6018,Michelet - Assas,True,18,18,0,0,0,True,True,2025-06-03 14:58:52+02:00,"48.842741502832, 2.3350211977959",Paris,75056
19109,Tanger - Place du Maroc,True,19,16,3,1,2,True,True,2025-06-03 14:57:52+02:00,"48.8862524447104, 2.3689296841621403",Paris,75056
8051,Batignolles - Rome,True,15,13,0,0,0,True,True,2025-06-03 14:56:00+02:00,"48.881823370566806, 2.3202589899301524",Paris,75056
2009,Filles Saint-Thomas - Place de la Bourse,True,58,7,51,41,10,True,True,2025-06-03 14:59:03+02:00,"48.868899890853, 2.3397543845203",Paris,75056
17124,Porte de Saint-Ouen - Henri Huchard,True,26,23,2,2,0,True,True,2025-06-03 14:59:04+02:00,"48.898708366365064, 2.3295360803604126",Paris,75056
18025,Mairie du 18ème,True,40,33,4,1,3,True,True,2025-06-03 14:58:50+02:00,"48.892939296937605, 2.3445510864257812",Paris,75056
13016,Primo Levi - Frigos,True,34,3,30,28,2,True,True,2025-06-03 14:56:23+02:00,"48.83094844846017, 2.37965351592796",Paris,75056
17122,Bridaine - Lamandé,True,29,24,4,0,4,True,True,2025-06-03 14:58:47+02:00,"48.8862074, 2.3206239",Paris,75056
13043,Dunois - Clisson,True,51,25,24,23,1,True,True,2025-06-03 14:59:02+02:00,"48.832294, 2.3674523",Paris,75056
16123,Mahatma Gandhi,True,26,14,10,4,6,True,True,2025-06-03 14:57:25+02:00,"48.876356, 2.264205",Paris,75056
9115,Milton - Manuel,True,22,20,2,0,2,True,True,2025-06-03 14:57:41+02:00,"48.878249, 2.341181",Paris,75056
19039,Edouard Pailleron - Simon Bolivar,True,24,23,1,1,0,True,True,2025-06-03 14:57:34+02:00,"48.87979886049996, 2.374839261174202",Paris,75056
15108,Lourmel - Marie Skobtsov,True,22,17,5,5,0,True,True,2025-06-03 14:58:36+02:00,"48.844974, 2.287283",Paris,75056
16032,Eglise d'Auteuil,True,21,11,9,5,4,True,True,2025-06-03 14:57:46+02:00,"48.84749841771691, 2.26848387135299",Paris,75056
19040,Belleville - Télégraphe,True,41,39,2,2,0,True,True,2025-06-03 14:53:33+02:00,"48.8756045, 2.3995549",Paris,75056
6016,Danton - Serpente,True,22,3,18,14,4,True,True,2025-06-03 14:55:02+02:00,"48.852297362582, 2.3414132371545",Paris,75056
20027,Porte de Ménilmontant,True,15,14,1,1,0,True,True,2025-06-03 12:43:37+02:00,"48.8691543609174, 2.40932246879487",Paris,75056
9023,Laffitte - Italiens,True,33,0,32,23,9,True,True,2025-06-03 14:58:52+02:00,"48.871815737396, 2.3372015478451",Paris,75056
17121,Square des Epinettes,True,20,16,1,0,1,True,True,2025-06-03 14:57:14+02:00,"48.89383909781389, 2.325953990221024",Paris,75056
14122,Colonel Monteil - Brune,True,19,18,1,0,1,True,True,2025-06-03 14:54:56+02:00,"48.82650293311, 2.3092747998272",Paris,75056
19009,Cité des Sciences et de l'Industrie,True,29,21,3,0,3,True,True,2025-06-03 14:53:53+02:00,"48.89659571178903, 2.384599149227142",Paris,75056
17047,Courcelles - Pierre Demours,True,26,20,6,5,1,True,True,2025-06-03 14:56:37+02:00,"48.883769733273496, 2.29858466343129",Paris,75056
18109,Pajol - Riquet,True,47,41,3,0,3,True,True,2025-06-03 14:54:38+02:00,"48.88960028134536, 2.3628534749150276",Paris,75056
17046,Mac-Mahon - Brey,True,25,19,5,1,4,True,True,2025-06-03 14:58:37+02:00,"48.877532084130166, 2.294512536052928",Paris,75056
19038,Lassus - Delouvain,True,20,19,1,0,1,True,True,2025-06-03 14:56:27+02:00,"48.8755044846, 2.3890327325519",Paris,75056
18029,Emile Blemont - Poteau,True,39,38,1,0,1,True,True,2025-06-03 14:57:21+02:00,"48.8943782, 2.3415122",Paris,75056
20118,Orteaux - Mouraud,True,24,22,2,2,0,True,True,2025-06-03 14:52:52+02:00,"48.85558642847872, 2.408762907764669",Paris,75056
16021,François Ponsard - La Muette,True,23,22,1,1,0,True,True,2025-06-03 14:55:11+02:00,"48.8583666, 2.2744515",Paris,75056
9117,Bellefond - Maubeuge,True,31,30,0,0,0,True,True,2025-06-03 14:58:30+02:00,"48.878255397645, 2.3452642187476",Paris,75056
9031,Provence - Chaussée d'Antin,True,25,7,17,12,5,True,True,2025-06-03 14:57:53+02:00,"48.87428447542072, 2.332976511564311",Paris,75056
18049,Porte d'Aubervilliers,True,55,49,4,2,2,True,True,2025-06-03 14:58:05+02:00,"48.89859661942376, 2.3689722642302513",Paris,75056
20023,Pelleport - Belgrand,True,15,12,3,1,2,True,True,2025-06-03 14:58:09+02:00,"48.86500081847653, 2.403980836377493",Paris,75056
10020,Chabrol - d'Hauteville,True,11,8,2,0,2,True,True,2025-06-03 14:58:53+02:00,"48.877018388033, 2.3513179644942",Paris,75056
14002,Edgar Quinet - Raspail,True,46,42,4,3,1,True,True,2025-06-03 14:56:35+02:00,"48.83940266673835, 2.32971478253603",Paris,75056
11041,Square Saint-Ambroise,True,43,32,10,4,6,True,True,2025-06-03 14:58:04+02:00,"48.860934, 2.375841",Paris,75056
15035,Place Etienne Pernet,True,43,16,26,24,2,True,True,2025-06-03 14:58:42+02:00,"48.84243457133779, 2.2921819612383847",Paris,75056
18113,Lepic - Armée d'Orient,True,24,22,2,0,2,True,True,2025-06-03 14:53:42+02:00,"48.887536403814, 2.3343077301979",Paris,75056
5121,Square René Viviani - Montebello,True,34,26,7,5,2,True,True,2025-06-03 14:58:57+02:00,"48.851904891406, 2.3478421568871",Paris,75056
11006,Ledru-Rollin - Place du Père Chaillet,True,37,32,4,2,2,True,True,2025-06-03 14:55:00+02:00,"48.856433706943704, 2.379020587761426",Paris,75056
15031,Théâtre - Lourmel,True,53,32,21,18,3,True,True,2025-06-03 14:58:43+02:00,"48.8482070397636, 2.2898658737540245",Paris,75056
16015,Bassano -  Iéna,True,15,7,8,3,5,True,True,2025-06-03 14:58:37+02:00,"48.868144510482075, 2.296149600985935",Paris,75056
19127,Aubervilliers - Curial,True,23,19,4,1,3,True,True,2025-06-03 14:50:07+02:00,"48.89088305227546, 2.3688579350709915",Paris,75056
1120,Lavandieres Sainte Opportune - Rivoli,True,27,22,4,4,0,True,True,2025-06-03 14:56:17+02:00,"48.859279702476, 2.3466217517853",Paris,75056
14112,Méchain - Faubourg Saint-Jacques,True,16,13,2,0,2,True,True,2025-06-03 14:58:07+02:00,"48.83586772099485, 2.33798034198275",Paris,75056
9026,Jean-Baptiste Pigalle - La Bruyere,True,17,17,0,0,0,True,True,2025-06-03 14:58:50+02:00,"48.87939826447722, 2.333709173337285",Paris,75056
11010,Boulets - Faubourg Saint-Antoine,True,43,39,3,3,0,True,True,2025-06-03 14:55:24+02:00,"48.849259262115, 2.3917546141943",Paris,75056
18033,Belliard - Damrémont,True,34,33,1,1,0,True,True,2025-06-03 14:54:37+02:00,"48.89669238777841, 2.338023450388167",Paris,75056
16122,Route de la Muette - Porte de Neuilly,True,50,41,8,4,4,True,True,2025-06-03 14:59:01+02:00,"48.8798926, 2.2587671",Paris,75056
15002,Maine - Antoine Bourdelle,True,17,15,1,0,1,True,True,2025-06-03 14:50:26+02:00,"48.84308531746595, 2.320263946784738",Paris,75056
20016,Pyrénées - Maraîchers,True,33,31,1,1,0,True,True,2025-06-03 14:55:46+02:00,"48.85714001395299, 2.4043509364128113",Paris,75056
16027,Mozart - Jasmin,True,62,59,2,2,0,True,True,2025-06-03 14:55:02+02:00,"48.85286124871689, 2.268483570651513",Paris,75056
20116,Haies - Réunion,True,22,18,4,0,4,True,True,2025-06-03 14:52:33+02:00,"48.85386896766491, 2.402426162238911",Paris,75056
10010,Place Jacques Bonsergent,True,33,23,9,7,2,True,True,2025-06-03 14:58:09+02:00,"48.870948218595, 2.3612049221992",Paris,75056
6107,Place Alphonse Deville,True,23,3,20,19,1,True,True,2025-06-03 14:58:14+02:00,"48.850188262662, 2.3275961726904",Paris,75056
16043,Place de Passy,True,15,13,2,0,2,True,True,2025-06-03 14:58:44+02:00,"48.85780291711202, 2.277500546942199",Paris,75056
8019,Naples - Rome,True,26,23,3,1,2,True,True,2025-06-03 14:56:17+02:00,"48.879960700846226, 2.321358695626259",Paris,75056
16029,Maison de Radio - France,True,47,31,15,14,1,True,True,2025-06-03 14:52:38+02:00,"48.85132886434057, 2.277785539627075",Paris,75056
9017,Lallier - Trudaine,True,29,24,5,2,3,True,True,2025-06-03 14:56:25+02:00,"48.88109246617963, 2.3408224806189537",Paris,75056
20201,Eugène Reisz - Davout,True,20,19,1,1,0,True,True,2025-06-03 14:56:57+02:00,"48.85631874632638, 2.410396970808506",Paris,75056
18008,Square Léon,True,33,31,2,1,1,True,True,2025-06-03 14:53:08+02:00,"48.88667396788626, 2.353205569088459",Paris,75056
13046,Eugène Oudiné - Dessous Des Berges,True,44,0,43,39,4,True,True,2025-06-03 14:58:00+02:00,"48.8256423, 2.3750226",Paris,75056
7008,Villersexel - Saint-Germain,True,16,4,12,10,2,True,True,2025-06-03 14:51:47+02:00,"48.858297001218, 2.3237934708595",Paris,75056
15003,Gare Montparnasse - Vaugirard,True,66,59,6,2,4,True,True,2025-06-03 14:55:29+02:00,"48.8418071798797, 2.31951002690117",Paris,75056
16112,Chernoviz - Raynouard,True,37,30,6,1,5,True,True,2025-06-03 14:56:08+02:00,"48.8569864146289, 2.282173218142987",Paris,75056
4110,Neuve Saint-Pierre - Beautreillis,True,20,9,10,6,4,True,True,2025-06-03 14:59:00+02:00,"48.85355351439652, 2.3639122769236565",Paris,75056
6032,Sabot - Rennes,True,26,12,14,12,2,True,True,2025-06-03 14:58:57+02:00,"48.852575112948415, 2.331552766263485",Paris,75056
14030,Pernety - Raymond Losserand,True,32,30,2,0,2,True,True,2025-06-03 14:51:46+02:00,"48.834254627953, 2.317609339387",Paris,75056
7020,Champ de Mars - Cler,True,40,27,12,7,5,True,True,2025-06-03 14:58:54+02:00,"48.856691550115315, 2.306646779179573",Paris,75056
9101,Cadet - La Fayette,True,19,11,7,2,5,True,True,2025-06-03 14:58:37+02:00,"48.875601632672, 2.3435704037547",Paris,75056
17022,Pereire - Place de Wagram,True,46,43,2,0,2,True,True,2025-06-03 14:57:16+02:00,"48.887070607581215, 2.304111124531457",Paris,75056
18017,Caulaincourt - Place Constantin Pecqueur,True,44,39,5,0,5,True,True,2025-06-03 14:57:45+02:00,"48.889677905028, 2.3381787144261",Paris,75056
10036,Aqueduc - Villette,True,28,23,1,1,0,True,True,2025-06-03 14:56:14+02:00,"48.883886063895, 2.367198803315",Paris,75056
19041,Belleville - Pyrénées,True,42,38,2,1,1,True,True,2025-06-03 14:57:26+02:00,"48.8741908, 2.3860039",Paris,75056
6017,Sénat - Condé,True,33,10,23,18,5,True,True,2025-06-03 14:56:58+02:00,"48.84954227788459, 2.337939441204071",Paris,75056
12161,Diderot - Reuilly,True,44,35,9,8,1,True,True,2025-06-03 14:58:12+02:00,"48.847208456061, 2.3861273378134",Paris,75056
17201,Porte Maillot - Perreire,True,51,37,12,8,4,True,True,2025-06-03 14:57:06+02:00,"48.878021154637, 2.2842371277102",Paris,75056
15107,Palais des Sports,True,22,4,16,16,0,True,True,2025-06-03 14:55:06+02:00,"48.833468517426, 2.2858720645308",Paris,75056
4013,Vieille du Temple - Francs Bourgeois,True,29,8,18,13,5,True,True,2025-06-03 14:58:57+02:00,"48.858256413365815, 2.35821794718504",Paris,75056
11043,Place Pasdeloup,True,21,15,5,3,2,True,True,2025-06-03 14:58:20+02:00,"48.862654215631, 2.3670325062844",Paris,75056
1117,Pont Neuf - Rivoli,True,27,5,18,16,2,True,True,2025-06-03 14:59:03+02:00,"48.860089892617, 2.344057559967",Paris,75056
10163,Gare du Nord - Demarquay,True,30,25,5,1,4,True,True,2025-06-03 14:55:10+02:00,"48.881154, 2.358411",Paris,75056
13103,Hôpital Pitié Salpêtrière,True,50,45,2,1,1,True,True,2025-06-03 14:58:16+02:00,"48.8377016, 2.3604946",Paris,75056
2001,Greneta - Sebastopol,True,31,19,11,7,4,True,True,2025-06-03 14:57:22+02:00,"48.865242333228, 2.3516669869423",Paris,75056
13010,Place d'Italie - Vincent Auriol,True,40,38,2,0,2,True,True,2025-06-03 14:57:50+02:00,"48.831481874467, 2.3567550292319",Paris,75056
20019,Place du Maquis du Vercors,True,31,30,1,0,1,True,True,2025-06-03 14:51:48+02:00,"48.877321579493575, 2.4083782732486725",Paris,75056
7101,Raspail - Chomel,True,49,33,14,7,7,True,True,2025-06-03 14:58:41+02:00,"48.852233164303, 2.3266580700874",Paris,75056
15059,Parc André Citroën,True,65,65,0,0,0,False,False,2025-06-03 14:51:03+02:00,"48.840639944297, 2.2780618071556",Paris,75056
18138,Station Paris Basketball - Ney - Charles Hermite,True,20,16,3,0,3,True,True,2025-06-03 14:56:58+02:00,"48.898748039775, 2.3645754531026",Paris,75056
4011,Hôtel de Ville - Pont-Marie,True,36,24,11,4,7,True,True,2025-06-03 14:54:41+02:00,"48.853899645527, 2.3569472506642",Paris,75056
9118,Faubourg Poissonniere - Delta,True,36,36,0,0,0,True,True,2025-06-03 14:57:31+02:00,"48.882555807626765, 2.3497482016682625",Paris,75056
12108,Bercy.,True,66,4,62,58,4,True,True,2025-06-03 14:57:51+02:00,"48.839966914994, 2.3788625746965",Paris,75056
19023,Manin - Simon Bolivar,True,26,17,5,3,2,True,True,2025-06-03 14:58:55+02:00,"48.876499654127, 2.3794073625991",Paris,75056
7013,Duroc - Place de Breteuil,True,42,29,13,8,5,True,True,2025-06-03 14:59:01+02:00,"48.847460641142, 2.3126140236855",Paris,75056
18137,Poissonniers - Nord,True,28,26,1,0,1,True,True,2025-06-03 14:54:52+02:00,"48.892511213520656, 2.3522228747606277",Paris,75056
8056,Beaujon - Wagram,True,29,27,2,1,1,True,True,2025-06-03 14:56:22+02:00,"48.875352455985, 2.2964416444302",Paris,75056
17116,Reims - Porte d'Asnières,True,26,12,13,11,2,True,True,2025-06-03 14:58:04+02:00,"48.891834448210986, 2.300144659954865",Paris,75056
13041,Porte d'Ivry,True,50,46,2,0,2,True,True,2025-06-03 14:57:19+02:00,"48.821768747596, 2.3688706755638",Paris,75056
