identifiant_station,nom_station,station_en_fonctionnement,capacité_de_la_station,nombre_bornettes_libres,nombre_total_vélos_disponibles,vélos_mécaniques_disponibles,vélos_électriques_disponibles,borne_de_paiement_disponible,retour_vélib_possible,actualisation_de_la_donnée,coordonnées_géographiques,commune,code_postal
10029,Dunkerque - Rocroy,True,24,20,3,1,2,True,True,2025-06-03 14:53:01+02:00,"48.880726, 2.351464",Paris,75056
10161,Gare de l'Est - Faubourg-Saint-Martin,True,32,29,2,0,2,True,True,2025-06-03 14:58:53+02:00,"48.875642647477, 2.3594588041306",Paris,75056
12031,Gabriel Lamé,True,36,1,34,33,1,True,True,2025-06-03 14:58:21+02:00,"48.8351212784276, 2.385534569621086",Paris,75056
8103,Artois - Berri,True,23,4,19,7,12,True,True,2025-06-03 14:56:42+02:00,"48.87393521240818, 2.3064258322119713",Paris,75056
1001,Quai de l'Horloge - Pont Neuf,True,17,0,15,7,8,True,True,2025-06-03 14:57:38+02:00,"48.857058739111, 2.3417982839439",Paris,75056
8048,Marceau - Chaillot,True,21,10,9,4,5,True,True,2025-06-03 14:55:36+02:00,"48.868834023334, 2.2986030816809",Paris,75056
5022,Boulangers - Cardinal Lemoine,True,20,13,6,5,1,True,True,2025-06-03 14:58:35+02:00,"48.8462904, 2.3521495",Paris,75056
13118,Regnault - Patay,True,63,0,61,59,2,True,True,2025-06-03 14:57:56+02:00,"48.82435782216384, 2.377065159380436",Paris,75056
19027,Serrurier,True,0,0,0,0,0,False,False,2025-05-21 08:48:59+02:00,"48.880493403246, 2.398064173758",Paris,75056
9038,Douai - Bruxelles,True,27,25,2,0,2,True,True,2025-06-03 14:57:16+02:00,"48.88320784122797, 2.3308449949028507",Paris,75056
8009,Gare Saint-Lazare - Isly,True,27,21,6,1,5,True,True,2025-06-03 14:54:40+02:00,"48.874777677621296, 2.326515804784655",Paris,75056
16110,Octave Feuillet - Albéric Magnard,True,21,16,5,0,5,True,True,2025-06-03 14:54:23+02:00,"48.86106902949534, 2.2730283066630363",Paris,75056
17008,Porte Pouchet-Bessières,True,23,18,4,1,3,True,True,2025-06-03 14:58:31+02:00,"48.8978765, 2.3230632",Paris,75056
17032,Jean Oestreicher - Porte de Champerret,True,21,17,4,3,1,True,True,2025-06-03 14:55:25+02:00,"48.88655580065981, 2.288640439510346",Paris,75056
5005,Gay Lussac - Saint-Jacques,True,24,13,10,4,6,True,True,2025-06-03 14:55:46+02:00,"48.844730256132, 2.3419239448664",Paris,75056
8016,Square Louis XVI,True,29,7,21,19,2,True,True,2025-06-03 14:59:04+02:00,"48.87320440102894, 2.323658830743138",Paris,75056
8053,Place Georges Guillaumin,True,29,11,18,5,13,True,True,2025-06-03 14:58:04+02:00,"48.874750203957, 2.301771435326",Paris,75056
13104,Gare d'Austerlitz - Quai Saint-Bernard,True,27,14,13,12,1,True,True,2025-06-03 14:56:21+02:00,"48.84369030864, 2.3657163977623",Paris,75056
17040,Pereire - Ternes,True,48,41,7,2,5,True,True,2025-06-03 14:58:54+02:00,"48.87973954830735, 2.288012132048607",Paris,75056
19015,Thionville - Ourcq,True,24,19,5,1,4,True,True,2025-06-03 14:56:19+02:00,"48.88917613743794, 2.3833653330802917",Paris,75056
7018,Ségur - d'Estrées,True,19,4,14,13,1,True,True,2025-06-03 14:54:30+02:00,"48.851419978983, 2.3097044974566",Paris,75056
17004,Legendre - Clichy,True,40,36,4,4,0,True,True,2025-06-03 14:53:03+02:00,"48.88896161855884, 2.322528975094376",Paris,75056
9014,Faubourg Montmartre - La Fayette,True,35,16,14,5,9,True,True,2025-06-03 14:56:30+02:00,"48.875254549053, 2.3408536612988",Paris,75056
5020,Institut du Monde Arabe - Saint-Germain,True,40,8,32,28,4,True,True,2025-06-03 14:59:00+02:00,"48.849063299501, 2.3558086529374",Paris,75056
9106,Boudreau - Auber,True,28,4,24,17,7,True,True,2025-06-03 14:58:06+02:00,"48.87219, 2.329423",Paris,75056
19105,Ambroise Rendu - Porte Brunet,True,17,17,0,0,0,True,True,2025-06-03 14:55:47+02:00,"48.883667, 2.395733",Paris,75056
16026,Ranelagh - Mozart,True,8,7,1,0,1,True,True,2025-06-03 14:54:03+02:00,"48.8554439, 2.2704418",Paris,75056
9022,Rossini - Laffitte,True,33,1,30,20,10,True,True,2025-06-03 14:59:01+02:00,"48.87334627510507, 2.337980867701675",Paris,75056
16039,Exelmans - Versailles,True,49,34,11,5,6,True,True,2025-06-03 14:57:54+02:00,"48.84097491091973, 2.264390252530575",Paris,75056
11023,Saint-Maur - Roquette,True,46,44,1,0,1,True,True,2025-06-03 14:57:37+02:00,"48.858688774062955, 2.383553994571467",Paris,75056
19003,Quai de la Seine,True,24,21,1,1,0,True,True,2025-06-03 14:54:08+02:00,"48.884492238407525, 2.3703941702842717",Paris,75056
11002,Roquette - Thiéré,True,23,11,10,3,7,True,True,2025-06-03 14:58:58+02:00,"48.85507930579506, 2.3733686318721463",Paris,75056
12151,Gare de Lyon - Place Louis Armand,True,60,54,6,4,2,True,True,2025-06-03 14:58:19+02:00,"48.845515089794, 2.3726498446286",Paris,75056
12111,Claude Decaen - Cannebière,True,45,40,5,4,1,True,True,2025-06-03 14:54:30+02:00,"48.83761417037952, 2.397253782195704",Paris,75056
9028,Moncey - Blanche,True,17,16,1,1,0,True,True,2025-06-03 14:57:39+02:00,"48.88006587474148, 2.3310810327529907",Paris,75056
11047,Amelot - Saint-Sébastien,True,30,12,13,9,4,True,True,2025-06-03 14:58:40+02:00,"48.861142162761, 2.3677996181077",Paris,75056
10107,Gare du Nord - Hôpital Lariboisière,True,49,47,2,0,2,True,True,2025-06-03 14:57:47+02:00,"48.881949, 2.352339",Paris,75056
5032,Panthéon - Valette,True,39,20,17,8,9,True,True,2025-06-03 14:58:47+02:00,"48.847020571652, 2.3464982619671",Paris,75056
17043,Belidor - Gouvion-Saint-Cyr,True,39,37,2,1,1,True,True,2025-06-03 14:58:41+02:00,"48.88022154052015, 2.2854680567979813",Paris,75056
18107,Chartres - La Charbonnière,True,34,32,2,0,2,True,True,2025-06-03 14:58:06+02:00,"48.8847601, 2.3534657",Paris,75056
19026,Place de Rhin et Danube,True,17,15,0,0,0,True,True,2025-06-03 14:52:37+02:00,"48.88192765861766, 2.392586767673493",Paris,75056
20042,Pyrénées - Emmery,True,40,37,2,0,2,True,True,2025-06-03 14:58:10+02:00,"48.872010281270974, 2.392039597034455",Paris,75056
15067,Desaix - Edgar Faure,True,12,4,7,5,2,True,True,2025-06-03 14:52:27+02:00,"48.852804604940296, 2.293077029857222",Paris,75056
8034,Berri - Haussmann,True,35,9,25,17,8,True,True,2025-06-03 14:58:33+02:00,"48.874746047357135, 2.3082953318953514",Paris,75056
17030,Pereire - Rennequin,True,23,18,5,2,3,True,True,2025-06-03 14:58:45+02:00,"48.88364782887555, 2.2952447086572647",Paris,75056
6006,Notre-Dame-des-Champs - Stanislas,True,19,18,1,0,1,True,True,2025-06-03 14:58:44+02:00,"48.84479928858768, 2.329337755887181",Paris,75056
12128,Pyramide - Ecole du Breuil,True,34,25,9,5,4,True,True,2025-06-03 14:53:13+02:00,"48.82237977153955, 2.4586871266365056",Paris,75056
11027,Saint-Ambroise - Parmentier,True,38,32,4,2,2,True,True,2025-06-03 14:57:28+02:00,"48.862147844548, 2.3772348091006",Paris,75056
8010,Liège - Moscou,True,17,9,8,6,2,True,True,2025-06-03 14:54:50+02:00,"48.8795431, 2.3264628",Paris,75056
10016,Récollets - Square Villemin,True,17,15,1,0,1,True,True,2025-06-03 14:51:39+02:00,"48.875034655883944, 2.359801238597928",Paris,75056
14020,Cimetière de Montrouge,True,58,53,4,0,4,True,True,2025-06-03 14:56:37+02:00,"48.821466904768, 2.3215785772007",Paris,75056
15042,Henry Farman,True,16,0,16,10,6,True,True,2025-06-03 14:58:52+02:00,"48.83372430280548, 2.2713854536414146",Paris,75056
18011,Pajol - Place Herbert,True,39,37,1,0,1,True,True,2025-06-03 14:58:07+02:00,"48.8927825, 2.3635598",Paris,75056
18003,Cimetière de Montmartre,True,43,41,2,0,2,True,True,2025-06-03 14:53:15+02:00,"48.886472466142, 2.3328901827335",Paris,75056
15104,Hôpital Européen Georges Pompidou,True,64,6,57,57,0,True,True,2025-06-03 14:57:55+02:00,"48.837695319163, 2.2753742337227",Paris,75056
19120,Carducci - Place Hannah Arendt,True,27,26,1,1,0,True,True,2025-06-03 14:57:57+02:00,"48.877436681515796, 2.3860743641853337",Paris,75056
14003,Schoelcher - Raspail,True,50,47,3,1,2,True,True,2025-06-03 14:55:51+02:00,"48.83681733526843, 2.3312794080411474",Paris,75056
11113,Richard Lenoir - Republique,True,58,54,3,2,1,True,True,2025-06-03 14:56:37+02:00,"48.8667175, 2.3692541",Paris,75056
4016,Lobau - Hôtel de Ville,True,60,27,33,21,12,True,True,2025-06-03 14:58:31+02:00,"48.8562118, 2.3532536",Paris,75056
5018,Mutualité,True,37,7,28,19,9,True,True,2025-06-03 14:58:31+02:00,"48.848225572724, 2.3502873256803",Paris,75056
19101,Square Simon Bolivar,True,24,23,1,0,1,True,True,2025-06-03 14:55:23+02:00,"48.875089888322, 2.3826304078102",Paris,75056
14138,Porte de Vanves,True,32,24,6,1,5,True,True,2025-06-03 14:58:27+02:00,"48.828012849445, 2.3056878894567",Paris,75056
12114,Victor Hugo - Jeanne Jugan,True,28,27,1,0,1,True,True,2025-06-03 14:57:39+02:00,"48.843949064031825, 2.415081394834419",Paris,75056
15106,Grenelle - Violet,True,35,26,9,5,4,True,True,2025-06-03 14:57:51+02:00,"48.84993035512154, 2.294612042605877",Paris,75056
14008,Mouton Duvernet - Général Leclerc,True,28,25,3,1,2,True,True,2025-06-03 14:58:43+02:00,"48.831632518293, 2.3293121159077",Paris,75056
13001,Port-Royal - Hôpital du Val-de-Grâce,True,18,9,9,3,6,True,True,2025-06-03 14:56:31+02:00,"48.837668272811, 2.3448138346607",Paris,75056
2111,Chabanais - Petits Champs,True,30,6,24,18,6,True,True,2025-06-03 14:59:01+02:00,"48.86703740186721, 2.336716018617153",Paris,75056
18028,Championnet - Vauvenargues,True,33,31,1,0,1,True,True,2025-06-03 14:58:34+02:00,"48.89401874744574, 2.3319872841238976",Paris,75056
18022,Marcadet - Barbès,True,37,35,2,0,2,True,True,2025-06-03 14:51:22+02:00,"48.890451120965, 2.3490573929687",Paris,75056
8017,Rocher - Laborde,True,65,57,8,6,2,True,True,2025-06-03 14:57:10+02:00,"48.87590240712654, 2.322616316378116",Paris,75056
14012,Sibelle - Alésia,True,37,34,3,0,3,True,True,2025-06-03 14:55:59+02:00,"48.826701758539215, 2.3384983465075493",Paris,75056
15054,Lecourbe - Jean Maridor,True,19,13,6,2,4,True,True,2025-06-03 14:57:42+02:00,"48.83796366147599, 2.2877392172813416",Paris,75056
5124,Erasme - Ulm,True,24,16,8,7,1,True,True,2025-06-03 14:57:06+02:00,"48.84264375274712, 2.3445946723222733",Paris,75056
10042,Enghien - Faubourg Poissonnière,True,33,23,9,3,6,True,True,2025-06-03 14:55:17+02:00,"48.872420063053, 2.3483952362828",Paris,75056
14106,Marc Sangnier - Porte de Vanves,True,21,21,0,0,0,True,True,2025-06-03 14:51:42+02:00,"48.825218683556734, 2.3107116669416428",Paris,75056
17203,Place de la Porte de Champeret,True,28,26,2,1,1,True,True,2025-06-03 14:55:15+02:00,"48.886062068226, 2.2917001576821",Paris,75056
18046,Etienne Jodelle - Saint Ouen,True,33,31,2,1,1,True,True,2025-06-03 14:58:47+02:00,"48.88794016394694, 2.326124420314341",Paris,75056
8054,Bertie Albrecht - Hoche,True,32,11,21,9,12,True,True,2025-06-03 14:58:42+02:00,"48.87614039826388, 2.301303138307601",Paris,75056
